"","silver_history.csv Date","silver_history.csv Price","silver_history.csv Open","silver_history.csv High","silver_history.csv Low","silver_history.csv Volume"
"83",2009-05-01,887.6,884,888.5,881.5,"510"
"84",2009-05-04,901.6,885.8,907.5,885.8,"80"
"85",2009-05-05,903.7,903.5,912.3,902,"70"
"86",2009-05-06,910.5,901.3,911.1,901.3,"30"
"87",2009-05-07,915,922.4,924,910.4,"60"
"88",2009-05-08,914.4,910.1,915.3,910.1,"160"
"89",2009-05-11,913,913.1,914.4,913.1,"0"
"90",2009-05-12,923.5,918.5,923.3,916.1,"20"
"91",2009-05-13,925.5,922,929.7,921.2,"70"
"92",2009-05-14,928,922.6,922.6,922.6,"0"
"93",2009-05-15,930.9,925.2,931.6,925.2,"50"
"94",2009-05-18,921.3,929.6,932.9,918.7,"70"
"95",2009-05-19,926.3,926.3,926.3,926.3,"-"
"96",2009-05-20,937,933,940.5,932,"70"
"97",2009-05-21,950.8,939.1,943.9,937.4,"70"
"98",2009-05-22,958.5,956.9,958.7,956.9,"10"
"99",2009-05-26,953.1,953,953.5,944,"20"
"100",2009-05-27,953.2,947.2,956,947.2,"70"
"101",2009-05-28,961.5,948.6,964.9,944,"74260"
"102",2009-05-29,978.8,959.2,980.4,959,"7610"
"103",2009-06-01,978.6,978.8,988.1,973,"2880"
"104",2009-06-02,983.2,974.7,986.5,969.8,"2350"
"105",2009-06-03,964.5,981.7,990.3,961,"1190"
"106",2009-06-04,981.2,963.6,982,960.9,"600"
"107",2009-06-05,961.7,981.4,983,954,"710"
"108",2009-06-08,951.7,958,960.1,944.4,"580"
"109",2009-06-09,954,953.5,963.7,948.4,"680"
"110",2009-06-10,954,956,966,949.2,"700"
"111",2009-06-11,961.3,954.3,961.9,943.1,"580"
"112",2009-06-12,940.1,955.9,956.5,935.8,"170"
"113",2009-06-15,926.9,938.5,938.5,927.4,"260"
"114",2009-06-16,931.6,930.9,938.6,930.9,"150"
"115",2009-06-17,935.4,931.5,937.8,930.4,"30"
"116",2009-06-18,934,942,942,931,"90"
"117",2009-06-19,935.6,932,936.5,932,"70"
"118",2009-06-22,920.6,925,926.2,919,"130"
"119",2009-06-23,923.9,921.9,926.5,917.3,"180"
"120",2009-06-24,934.1,925.4,942.7,922.9,"590"
"121",2009-06-25,939.1,932.3,938,932.3,"70"
"122",2009-06-26,940.7,945.3,946,939.6,"60"
"123",2009-06-29,940.4,940.2,942.5,934.8,"450"
"124",2009-06-30,927.1,941.4,943.9,925.3,"130"
"125",2009-07-01,941,929.3,944.2,928,"90"
"126",2009-07-02,930.7,941.4,941.5,926.6,"70"
"127",2009-07-06,924,928.7,933.7,920.2,"110"
"128",2009-07-07,928.8,924.2,931.7,921.2,"60"
"129",2009-07-08,909,919.6,919.6,905.6,"40"
"130",2009-07-09,915.9,907.2,917.4,907.2,"70"
"131",2009-07-10,912.2,910.7,913.5,908.5,"40"
"132",2009-07-13,922.2,911.5,920.5,908.4,"30"
"133",2009-07-14,922.5,920.2,926.2,920.2,"60"
"134",2009-07-15,939.1,928.9,941,928.3,"70"
"135",2009-07-16,935.1,938.4,938.4,934.8,"60"
"136",2009-07-17,937.2,936.9,937.8,931.8,"30"
"137",2009-07-20,948.5,954.1,954.5,950.9,"10"
"138",2009-07-21,946.6,948.6,948.6,945.8,"20"
"139",2009-07-22,953,949.2,952.2,946.4,"70"
"140",2009-07-23,954.5,954.2,954.2,949.8,"50"
"141",2009-07-24,952.8,950.3,952.8,950.3,"80"
"142",2009-07-27,953.3,955.1,957.1,953.9,"10"
"143",2009-07-28,939,949.5,949.5,937.5,"10"
"144",2009-07-29,927.2,927.2,927.2,927.2,"-"
"145",2009-07-30,934.9,929.2,937,928.4,"36620"
"146",2009-07-31,953.7,934.4,958.1,932,"10750"
"147",2009-08-03,956.6,952.6,964,952.4,"2600"
"148",2009-08-04,967.5,956.6,969.5,950.8,"570"
"149",2009-08-05,964.2,967.6,968.1,959.8,"740"
"150",2009-08-06,960.7,964.1,971.1,956.5,"540"
"151",2009-08-07,957.3,964.3,964.3,954.6,"640"
"152",2009-08-10,945,955,956.1,943.5,"400"
"153",2009-08-11,945.8,947.2,949.7,943.1,"110"
"154",2009-08-12,950.7,947.5,951.5,943,"100"
"155",2009-08-13,954.7,952.6,960.1,952.3,"100"
"156",2009-08-14,947,957.4,957.4,942.1,"140"
"157",2009-08-17,934.3,947.4,947.4,931.5,"130"
"158",2009-08-18,937.7,938.6,938.6,935.5,"280"
"159",2009-08-19,943.3,941.8,944.9,933.4,"190"
"160",2009-08-20,940.3,942.9,945.7,940.1,"40"
"161",2009-08-21,953.2,957,957.6,952.6,"50"
"162",2009-08-24,942.3,953.5,956.9,941.3,"200"
"163",2009-08-25,944.5,946.3,954.5,943.5,"140"
"164",2009-08-26,944.3,947.5,947.9,940.3,"130"
"165",2009-08-27,945.5,944.2,949.4,942.9,"70"
"166",2009-08-28,957,949.3,962.2,948.1,"180"
"167",2009-08-31,951.7,959.5,959.5,944.8,"20"
"168",2009-09-01,954.7,954.2,956.5,948.7,"20"
"169",2009-09-02,976.6,954,978.8,954,"70"
"170",2009-09-03,995.8,978.1,993.8,978.1,"60"
"171",2009-09-04,994.9,992.6,995,985.5,"80"
"172",2009-09-08,997.9,997.7,1006.9,993.2,"90"
"173",2009-09-09,995.3,1002,1002.8,988.8,"80"
"174",2009-09-10,995.4,996.2,997.2,987.3,"50"
"175",2009-09-11,1004.9,999.7,1011.9,999.7,"200"
"176",2009-09-14,999.9,1002.9,1003.8,998.5,"90"
"177",2009-09-15,1005,998,1008,994.9,"120"
"178",2009-09-16,1018.9,1014.7,1019.8,1014.7,"90"
"179",2009-09-17,1012.3,1017.2,1019.5,1011.6,"50"
"180",2009-09-18,1009.2,1013.9,1017.6,1009.5,"30"
"181",2009-09-21,1003.7,1003.7,1003.7,998,"10"
"182",2009-09-22,1014.2,1011.5,1019.4,1011.5,"70"
"183",2009-09-23,1013,1014.4,1015.2,1008.2,"210"
"184",2009-09-24,997.5,1015,1015,993.9,"120"
"185",2009-09-25,990.2,997.3,997.4,986.7,"70"
"186",2009-09-28,992.5,993.2,993.2,991.4,"30"
"187",2009-09-29,993.1,990.5,995.7,984.7,"5740"
"188",2009-09-30,1008,992.5,1009,992.5,"1390"
"189",2009-10-01,999.5,1007.4,1008.8,998,"210"
"190",2009-10-02,1003.2,998.8,1007.3,986.8,"250"
"191",2009-10-05,1016.7,1004.1,1017.6,1003,"180"
"192",2009-10-06,1038.6,1019.5,1043.8,1018.3,"180"
"193",2009-10-07,1043.3,1038.3,1048.2,1038.3,"180"
"194",2009-10-08,1055.4,1045.8,1060.4,1045.1,"160"
"195",2009-10-09,1047.8,1049.3,1051.5,1044,"180"
"196",2009-10-12,1056.7,1049,1058.4,1049,"210"
"197",2009-10-13,1064.2,1064,1068.4,1056.5,"180"
"198",2009-10-14,1063.9,1064,1070.2,1057.6,"140"
"199",2009-10-15,1049.8,1062.2,1062.2,1048,"180"
"200",2009-10-16,1050.7,1051.5,1056.2,1043.7,"80"
"201",2009-10-19,1057.3,1053.6,1061.2,1049.2,"160"
"202",2009-10-20,1057.8,1065.5,1066.2,1054,"230"
"203",2009-10-21,1063.7,1053.7,1064,1047.5,"40"
"204",2009-10-22,1057.8,1061.2,1061.2,1051.5,"170"
"205",2009-10-23,1055.6,1063.8,1065.9,1050.2,"120"
"206",2009-10-26,1042.1,1055.6,1055.6,1039.9,"80"
"207",2009-10-27,1034.7,1039.5,1042.1,1035.5,"100"
"208",2009-10-28,1029.9,1042.1,1042.1,1028,"40"
"209",2009-10-29,1046.4,1035.2,1047.3,1032.4,"230"
"210",2009-10-30,1039.7,1045.5,1045.8,1035.6,"150"
"211",2009-11-02,1053.4,1043.5,1061.8,1043.5,"40"
"212",2009-11-03,1084.3,1063.6,1087,1056.8,"200"
"213",2009-11-04,1086.7,1082.2,1097.4,1082.2,"110"
"214",2009-11-05,1088.7,1086,1092.3,1086,"60"
"215",2009-11-06,1095.1,1092.5,1100,1090.2,"60"
"216",2009-11-09,1100.8,1098.6,1109.3,1098.6,"100"
"217",2009-11-10,1101.9,1100.9,1108.6,1098.2,"90"
"218",2009-11-11,1114,1106.3,1117.6,1106.3,"100"
"219",2009-11-12,1106,1121.3,1121.3,1104.3,"70"
"220",2009-11-13,1116.1,1105,1118.2,1105,"60"
"221",2009-11-16,1138.6,1136.5,1149.4,1136.5,"60"
"222",2009-11-17,1138.8,1131.3,1140.4,1131.3,"70"
"223",2009-11-18,1140.7,1136.5,1149.4,1136.5,"80"
"224",2009-11-19,1141.4,1143,1144.8,1135.5,"20"
"225",2009-11-20,1146.4,1144.9,1144.9,1137.3,"20"
"226",2009-11-23,1164.3,1164.3,1164.3,1164.3,"0"
"227",2009-11-24,1165.5,1168.7,1169.8,1167.5,"30"
"228",2009-11-25,1186.9,1186.9,1186.9,1186.9,"-"
"229",2009-11-27,1174.2,1192.8,1195,1130.1,"112020"
"230",2009-11-30,1181.1,1179.9,1183.7,1163.7,"14550"
"231",2009-12-01,1199.1,1181,1202.7,1176,"3790"
"232",2009-12-02,1212,1196.4,1217.3,1196.4,"2150"
"233",2009-12-03,1217.4,1218,1226.4,1204.6,"1530"
"234",2009-12-04,1168.8,1207.8,1211.2,1147,"4290"
"235",2009-12-07,1163.4,1157.6,1165.5,1136.3,"3670"
"236",2009-12-08,1142.8,1159.5,1169.3,1125.3,"780"
"237",2009-12-09,1120.4,1130.3,1147,1116.5,"2260"
"238",2009-12-10,1125.7,1131.5,1134.8,1122.2,"340"
"239",2009-12-11,1119.4,1132.7,1141.4,1110.8,"910"
"240",2009-12-14,1123.3,1114.5,1127.5,1114.5,"230"
"241",2009-12-15,1122.4,1127.9,1128.6,1111.9,"240"
"242",2009-12-16,1135.5,1125.7,1140,1122.4,"210"
"243",2009-12-17,1106.8,1141.5,1141.5,1095.7,"420"
"244",2009-12-18,1110.8,1098,1115.2,1097.8,"400"
"245",2009-12-21,1095.4,1115.5,1119.2,1090.8,"250"
"246",2009-12-22,1086,1094.4,1097.4,1075,"480"
"247",2009-12-23,1093.3,1086.2,1094.6,1080,"170"
"248",2009-12-24,1104.1,1092,1105.3,1092,"130"
"249",2009-12-28,1107.2,1111.8,1111.9,1102.8,"350"
"250",2009-12-29,1097,1105,1105.2,1097.6,"110"
"251",2009-12-30,1091.5,1096.5,1097.1,1086,"400"
"252",2009-12-31,1095.2,1094,1106.1,1094,"150"
"253",2010-01-04,1117.7,1097.1,1122.3,1097.1,"180"
"254",2010-01-05,1118.1,1122,1126.5,1115,"50"
"255",2010-01-06,1135.9,1120.7,1139.2,1120.7,"360"
"256",2010-01-07,1133.1,1132.1,1133,1129.2,"60"
"257",2010-01-08,1138.2,1124.9,1136.9,1122.7,"50"
"258",2010-01-11,1150.7,1143,1161.2,1143,"180"
"259",2010-01-12,1128.9,1155,1157.2,1127.2,"50"
"260",2010-01-13,1136.4,1128.1,1136.4,1121,"60"
"261",2010-01-14,1142.6,1137,1145.9,1132.8,"80"
"262",2010-01-15,1130.1,1132.8,1133.4,1127.2,"50"
"263",2010-01-19,1139.7,1131.1,1138.4,1130.5,"20"
"264",2010-01-20,1112.3,1133,1133,1109.8,"30"
"265",2010-01-21,1102.7,1104.8,1107.5,1089.8,"100"
"266",2010-01-22,1089.2,1091.4,1095.4,1083,"60"
"267",2010-01-25,1095.2,1100.4,1100.4,1095.4,"10"
"268",2010-01-26,1097.9,1094.7,1094.7,1093,"0"
"269",2010-01-27,1084.4,1094.4,1094.4,1091,"0"
"270",2010-01-28,1083.6,1087.8,1095.7,1073.2,"101170"
"271",2010-01-29,1083,1085,1090.8,1074.5,"11460"
"272",2010-02-01,1104.3,1081,1107.3,1076.8,"2450"
"273",2010-02-02,1117.4,1106.8,1118.5,1100.2,"3330"
"274",2010-02-03,1111.4,1115.8,1124.9,1108.6,"850"
"275",2010-02-04,1062.4,1110,1110.7,1059,"1430"
"276",2010-02-05,1052.2,1068.3,1068.5,1045.2,"1960"
"277",2010-02-08,1065.7,1067.5,1073.4,1061.6,"550"
"278",2010-02-09,1076.7,1063.4,1082,1063.1,"390"
"279",2010-02-10,1075.8,1078,1081.1,1063.3,"640"
"280",2010-02-11,1094.2,1076.8,1097.1,1075.6,"1490"
"281",2010-02-12,1089.5,1089.6,1092,1079.8,"200"
"282",2010-02-16,1119.3,1094.8,1120.4,1092.4,"930"
"283",2010-02-17,1119.5,1116.4,1127,1108.5,"1080"
"284",2010-02-18,1118,1104.5,1123.7,1100.8,"990"
"285",2010-02-19,1121.3,1107.3,1126.2,1099.7,"140"
"286",2010-02-22,1112.6,1123.4,1127.4,1110,"120"
"287",2010-02-23,1102.7,1116.4,1118.3,1102.6,"150"
"288",2010-02-24,1096.5,1106.2,1106.3,1091.9,"180"
"289",2010-02-25,1107.8,1100.6,1108.2,1088.7,"390"
"290",2010-02-26,1118.3,1106.8,1118.2,1106.8,"380"
"291",2010-03-01,1117.8,1119.3,1121.9,1113.6,"180"
"292",2010-03-02,1136.9,1117.7,1137.4,1115.7,"160"
"293",2010-03-03,1142.7,1133.7,1145,1133.7,"170"
"294",2010-03-04,1132.6,1134.7,1139,1128.6,"120"
"295",2010-03-05,1134.8,1131.3,1139.7,1128,"130"
"296",2010-03-08,1123.6,1134.6,1136.3,1119.3,"20"
"297",2010-03-09,1122,1123.2,1124,1113.1,"30"
"298",2010-03-10,1107.8,1127.1,1127.1,1106.9,"20"
"299",2010-03-11,1108,1107.5,1109,1101.2,"50"
"300",2010-03-12,1101.5,1117.4,1117.4,1099.9,"140"
"301",2010-03-15,1105.1,1104.2,1107.1,1101.4,"20"
"302",2010-03-16,1122.2,1114.5,1127,1114.5,"70"
"303",2010-03-17,1124,1127.8,1131.4,1118,"30"
"304",2010-03-18,1127.4,1121.1,1127.8,1121.1,"90"
"305",2010-03-19,1107.4,1124.2,1124.2,1104.2,"50"
"306",2010-03-22,1099.3,1102.1,1102.4,1094.8,"70"
"307",2010-03-23,1103.5,1094.8,1104.7,1094.8,"20"
"308",2010-03-24,1088.6,1092.4,1092.4,1085.5,"10"
"309",2010-03-25,1092.7,1092.4,1092.4,1085.5,"10"
"310",2010-03-26,1104.2,1098.4,1098.4,1092.3,"10"
"311",2010-03-29,1110.3,1110.7,1110.7,1109.4,"20"
"312",2010-03-30,1104.5,1109.7,1112.9,1101.1,"56530"
"313",2010-03-31,1113.3,1103.1,1118.7,1102,"5950"
"314",2010-04-01,1125.1,1112.9,1127.7,1111.3,"570"
"315",2010-04-05,1132.9,1122.3,1133.3,1119.9,"570"
"316",2010-04-06,1135.1,1130.8,1138.5,1122.7,"2490"
"317",2010-04-07,1152.3,1135.8,1153,1132.6,"1340"
"318",2010-04-08,1152.2,1146.4,1152.3,1144,"250"
"319",2010-04-09,1161.1,1150.7,1164.8,1150.5,"510"
"320",2010-04-12,1161.6,1168.5,1169,1154.6,"480"
"321",2010-04-13,1152.8,1155.5,1157,1145,"280"
"322",2010-04-14,1159,1151.2,1160.6,1151.2,"160"
"323",2010-04-15,1159.7,1157.5,1159.8,1151,"180"
"324",2010-04-16,1136.3,1159.6,1160,1130.4,"480"
"325",2010-04-19,1135.2,1133.9,1137.1,1124,"150"
"326",2010-04-20,1138.6,1136.4,1145.8,1136,"80"
"327",2010-04-21,1148.2,1142.6,1150,1138.4,"70"
"328",2010-04-22,1142.3,1144,1144,1133.6,"210"
"329",2010-04-23,1153.1,1139.5,1154.6,1139.1,"40"
"330",2010-04-26,1153.5,1160.1,1160.1,1151.4,"110"
"331",2010-04-27,1161.7,1152.8,1170.7,1148.6,"210"
"332",2010-04-28,1171.3,1166.2,1173.9,1161.1,"110"
"333",2010-04-29,1168.4,1166.8,1171.2,1164,"170"
"334",2010-04-30,1180.1,1170,1181.3,1170,"150"
"335",2010-05-03,1182.7,1178.6,1187.5,1177.3,"90"
"336",2010-05-04,1168.6,1181,1191.8,1168.3,"90"
"337",2010-05-05,1174.6,1167.5,1177.2,1159.2,"100"
"338",2010-05-06,1196.9,1175.9,1210.6,1175.9,"80"
"339",2010-05-07,1210,1205,1210.8,1194.6,"110"
"340",2010-05-10,1200.4,1202,1203.8,1189.2,"120"
"341",2010-05-11,1219.9,1204.2,1233.5,1201.5,"200"
"342",2010-05-12,1242.7,1230.6,1246.5,1227.1,"210"
"343",2010-05-13,1228.8,1235.3,1240,1228.7,"40"
"344",2010-05-14,1227.4,1236.2,1246.2,1217.5,"100"
"345",2010-05-17,1227.7,1233.3,1235.9,1225.2,"50"
"346",2010-05-18,1214.3,1214.1,1216.8,1208.2,"70"
"347",2010-05-19,1192.6,1224.1,1226.8,1191.2,"80"
"348",2010-05-20,1187.8,1179.5,1191.8,1179.4,"300"
"349",2010-05-21,1175.7,1182.4,1182.4,1177,"180"
"350",2010-05-24,1193.8,1184,1191.8,1184,"10"
"351",2010-05-25,1197.8,1195.6,1200,1192.1,"10"
"352",2010-05-26,1213.3,1213.3,1213.3,1213.3,"0"
"353",2010-05-27,1211.9,1211.7,1218.5,1205.4,"109430"
"354",2010-05-28,1212.2,1210.4,1214.8,1201.1,"12900"
"355",2010-06-01,1224.8,1217,1228.2,1209.3,"4550"
"356",2010-06-02,1220.6,1224.9,1226.2,1213,"2800"
"357",2010-06-03,1208.3,1223.7,1224.2,1201,"1550"
"358",2010-06-04,1216.2,1207.6,1220.4,1196.9,"1070"
"359",2010-06-07,1239.3,1220.4,1244.7,1211,"860"
"360",2010-06-08,1244,1241.5,1252.1,1234.1,"760"
"361",2010-06-09,1228.5,1237,1238.2,1222,"450"
"362",2010-06-10,1220.8,1232.8,1233.5,1215.1,"490"
"363",2010-06-11,1228.9,1219.5,1229.6,1218,"480"
"364",2010-06-14,1223.3,1230.2,1232.7,1217.7,"990"
"365",2010-06-15,1233.2,1222.6,1236,1222.4,"250"
"366",2010-06-16,1229.3,1232,1237.6,1228.5,"320"
"367",2010-06-17,1247.5,1233.9,1251.1,1233.9,"270"
"368",2010-06-18,1257.2,1247.7,1261.5,1242.9,"130"
"369",2010-06-21,1239.7,1257.4,1264.8,1232,"220"
"370",2010-06-22,1239.9,1239.5,1242.8,1232.1,"170"
"371",2010-06-23,1234.1,1240.2,1245.1,1226.9,"100"
"372",2010-06-24,1245.5,1236.4,1248.1,1230.7,"250"
"373",2010-06-25,1255.8,1246.7,1256.9,1243.7,"160"
"374",2010-06-28,1238.2,1254.5,1262,1238,"50"
"375",2010-06-29,1242,1239.4,1245,1228.5,"420"
"376",2010-06-30,1245.5,1244.2,1246.2,1236.7,"70"
"377",2010-07-01,1206.3,1241.7,1242.4,1204.2,"50"
"378",2010-07-02,1207.4,1201.4,1211.6,1200.8,"170"
"379",2010-07-06,1194.8,1207.3,1211.8,1190.5,"50"
"380",2010-07-07,1198.6,1185.8,1198.7,1185.3,"20"
"381",2010-07-08,1195.8,1203.3,1203.3,1189.3,"90"
"382",2010-07-09,1209.6,1199.2,1213,1195,"20"
"383",2010-07-12,1198.5,1206.2,1206.2,1204,"50"
"384",2010-07-13,1213.3,1205.2,1217.4,1205.2,"50"
"385",2010-07-14,1206.8,1212,1213.8,1202.4,"50"
"386",2010-07-15,1208.1,1213.2,1213.2,1208.4,"30"
"387",2010-07-16,1188,1200.9,1201,1186.7,"50"
"388",2010-07-19,1181.7,1182.2,1182.2,1180,"0"
"389",2010-07-20,1191.5,1183.2,1191.6,1181.5,"10"
"390",2010-07-21,1191.6,1190.7,1194.5,1184.1,"20"
"391",2010-07-22,1195.5,1194.4,1196,1194.4,"80"
"392",2010-07-23,1187.7,1193.7,1198.6,1188,"30"
"393",2010-07-26,1183,1192.6,1192.6,1182.2,"40"
"394",2010-07-27,1158,1174,1174.2,1162.7,"30"
"395",2010-07-28,1160.4,1159.8,1159.8,1159.8,"0"
"396",2010-07-29,1168.4,1163.8,1169.2,1158.7,"54380"
"397",2010-07-30,1181.7,1168.2,1183.1,1165.8,"5470"
"398",2010-08-02,1183.4,1181.8,1191.8,1174.7,"2500"
"399",2010-08-03,1185.2,1183.8,1190.5,1180,"600"
"400",2010-08-04,1193.7,1186.3,1203,1186.3,"1070"
"401",2010-08-05,1197.2,1194.3,1199.5,1190,"210"
"402",2010-08-06,1203.4,1195.4,1211,1195.3,"350"
"403",2010-08-09,1200.7,1205.8,1209.6,1199.8,"660"
"404",2010-08-10,1196.2,1200.5,1206.5,1191,"710"
"405",2010-08-11,1197.5,1202.8,1208,1193,"350"
"406",2010-08-12,1214.8,1200.5,1215.5,1199,"290"
"407",2010-08-13,1214.9,1212.8,1216,1212.5,"140"
"408",2010-08-16,1224.5,1218,1225.4,1218,"250"
"409",2010-08-17,1226.6,1227.4,1227.4,1224,"80"
"410",2010-08-18,1229.7,1226,1231.6,1218,"170"
"411",2010-08-19,1233.8,1229.6,1237.6,1228.8,"50"
"412",2010-08-20,1227.2,1232.5,1232.8,1223,"240"
"413",2010-08-23,1226.9,1228.9,1228.9,1222.9,"60"
"414",2010-08-24,1231.8,1223,1234,1211.5,"300"
"415",2010-08-25,1239.5,1230.7,1240.7,1230.7,"300"
"416",2010-08-26,1235.4,1240.9,1243.3,1235,"100"
"417",2010-08-27,1236,1235.7,1241.9,1234.8,"30"
"418",2010-08-30,1237.1,1237.1,1237.9,1234,"130"
"419",2010-08-31,1248.3,1237.1,1249.4,1233,"120"
"420",2010-09-01,1246.3,1252.3,1254.3,1243.6,"40"
"421",2010-09-02,1251.5,1247.1,1252.5,1246.9,"100"
"422",2010-09-03,1249.2,1240,1247.4,1240,"0"
"423",2010-09-07,1257.3,1256.1,1258,1248.9,"10"
"424",2010-09-08,1255.6,1260.2,1260.2,1254.7,"30"
"425",2010-09-09,1248.9,1253.9,1256.4,1244.1,"10"
"426",2010-09-10,1244.5,1239,1249.6,1239,"20"
"427",2010-09-13,1245.1,1242.6,1247,1242.6,"20"
"428",2010-09-14,1269.7,1253.8,1272.4,1253.4,"90"
"429",2010-09-15,1266.7,1268.4,1269.8,1263.5,"30"
"430",2010-09-16,1271.9,1268.7,1275.2,1266.6,"40"
"431",2010-09-17,1275.6,1275.8,1279.6,1273.8,"50"
"432",2010-09-20,1279,1281.7,1282,1279.3,"30"
"433",2010-09-21,1272.4,1278.2,1289.8,1271.8,"60"
"434",2010-09-22,1290.2,1293.5,1294.5,1288.5,"20"
"435",2010-09-23,1294.3,1289.4,1294.2,1289.4,"50"
"436",2010-09-24,1296,1296.8,1297.4,1294.2,"40"
"437",2010-09-27,1296.7,1297.8,1297.9,1296.3,"70"
"438",2010-09-28,1306.6,1287.5,1308.6,1287.5,"80"
"439",2010-09-29,1308.5,1309.4,1312.5,1305,"6750"
"440",2010-09-30,1307.8,1307.2,1315.2,1295.7,"580"
"441",2010-10-01,1316.1,1309,1320,1309,"150"
"442",2010-10-04,1315.4,1318.3,1319.1,1312,"100"
"443",2010-10-05,1338.9,1312.9,1341.1,1312.9,"200"
"444",2010-10-06,1346.4,1339.1,1349,1339,"220"
